dataset_id	intensity_mod	dwell_mod	mod_reads_freq
dataset_0166	2	2	0.25
dataset_0167	2	3	0.25
dataset_0168	2	4	0.25
dataset_0169	2	5	0.25
dataset_0170	3	0	0.25
dataset_0171	3	0.2	0.25
dataset_0172	3	0.4	0.25
dataset_0173	3	0.6	0.25
dataset_0174	3	0.8	0.25
dataset_0175	3	1	0.25
dataset_0176	3	2	0.25
dataset_0177	3	3	0.25
dataset_0178	3	4	0.25
dataset_0179	3	5	0.25
dataset_0180	4	0	0.25
dataset_0181	4	0.2	0.25
dataset_0182	4	0.4	0.25
dataset_0183	4	0.6	0.25
dataset_0184	4	0.8	0.25
dataset_0185	4	1	0.25
dataset_0186	4	2	0.25
dataset_0187	4	3	0.25
dataset_0188	4	4	0.25
dataset_0189	4	5	0.25
dataset_0190	5	0	0.25
dataset_0191	5	0.2	0.25
dataset_0192	5	0.4	0.25
dataset_0193	5	0.6	0.25
dataset_0194	5	0.8	0.25
dataset_0195	5	1	0.25
dataset_0196	5	2	0.25
dataset_0197	5	3	0.25
dataset_0198	5	4	0.25
dataset_0199	5	5	0.25
dataset_0200	0	0.2	0.5
dataset_0201	0	0.4	0.5
dataset_0202	0	0.6	0.5
dataset_0203	0	0.8	0.5
dataset_0204	0	1	0.5
dataset_0205	0	2	0.5
dataset_0206	0	3	0.5
dataset_0207	0	4	0.5
dataset_0208	0	5	0.5
dataset_0209	0.2	0	0.5
dataset_0210	0.2	0.2	0.5
dataset_0211	0.2	0.4	0.5
dataset_0212	0.2	0.6	0.5
dataset_0213	0.2	0.8	0.5
dataset_0214	0.2	1	0.5
dataset_0215	0.2	2	0.5
dataset_0216	0.2	3	0.5
dataset_0217	0.2	4	0.5
dataset_0218	0.2	5	0.5
dataset_0219	0.4	0	0.5
dataset_0220	0.4	0.2	0.5
dataset_0221	0.4	0.4	0.5
dataset_0222	0.4	0.6	0.5
dataset_0223	0.4	0.8	0.5
dataset_0224	0.4	1	0.5
dataset_0225	0.4	2	0.5
dataset_0226	0.4	3	0.5
dataset_0227	0.4	4	0.5
dataset_0228	0.4	5	0.5
dataset_0229	0.6	0	0.5
dataset_0230	0.6	0.2	0.5
dataset_0231	0.6	0.4	0.5
dataset_0232	0.6	0.6	0.5
dataset_0233	0.6	0.8	0.5
dataset_0234	0.6	1	0.5
dataset_0235	0.6	2	0.5
dataset_0236	0.6	3	0.5
dataset_0237	0.6	4	0.5
dataset_0238	0.6	5	0.5
dataset_0239	0.8	0	0.5
dataset_0240	0.8	0.2	0.5
dataset_0241	0.8	0.4	0.5
dataset_0242	0.8	0.6	0.5
dataset_0243	0.8	0.8	0.5
dataset_0244	0.8	1	0.5
dataset_0245	0.8	2	0.5
dataset_0246	0.8	3	0.5
dataset_0247	0.8	4	0.5
dataset_0248	0.8	5	0.5
dataset_0249	1	0	0.5
dataset_0250	1	0.2	0.5
dataset_0251	1	0.4	0.5
dataset_0252	1	0.6	0.5
dataset_0253	1	0.8	0.5
dataset_0254	1	1	0.5
dataset_0255	1	2	0.5
dataset_0256	1	3	0.5
dataset_0257	1	4	0.5
dataset_0258	1	5	0.5
dataset_0259	2	0	0.5
dataset_0260	2	0.2	0.5
dataset_0261	2	0.4	0.5
dataset_0262	2	0.6	0.5
dataset_0263	2	0.8	0.5
dataset_0264	2	1	0.5
dataset_0265	2	2	0.5
dataset_0266	2	3	0.5
dataset_0267	2	4	0.5
dataset_0268	2	5	0.5
dataset_0269	3	0	0.5
dataset_0270	3	0.2	0.5
dataset_0271	3	0.4	0.5
dataset_0272	3	0.6	0.5
dataset_0273	3	0.8	0.5
dataset_0274	3	1	0.5
dataset_0275	3	2	0.5
dataset_0276	3	3	0.5
dataset_0277	3	4	0.5
dataset_0278	3	5	0.5
dataset_0279	4	0	0.5
dataset_0280	4	0.2	0.5
dataset_0281	4	0.4	0.5
dataset_0282	4	0.6	0.5
dataset_0283	4	0.8	0.5
dataset_0284	4	1	0.5
dataset_0285	4	2	0.5
dataset_0286	4	3	0.5
dataset_0287	4	4	0.5
dataset_0288	4	5	0.5
dataset_0289	5	0	0.5
dataset_0290	5	0.2	0.5
dataset_0291	5	0.4	0.5
dataset_0292	5	0.6	0.5
dataset_0293	5	0.8	0.5
dataset_0294	5	1	0.5
dataset_0295	5	2	0.5
dataset_0296	5	3	0.5
dataset_0297	5	4	0.5
dataset_0298	5	5	0.5
dataset_0299	0	0.2	0.75
dataset_0300	0	0.4	0.75
dataset_0301	0	0.6	0.75
dataset_0302	0	0.8	0.75
dataset_0303	0	1	0.75
dataset_0304	0	2	0.75
dataset_0305	0	3	0.75
dataset_0306	0	4	0.75
dataset_0307	0	5	0.75
dataset_0308	0.2	0	0.75
dataset_0309	0.2	0.2	0.75
dataset_0310	0.2	0.4	0.75
dataset_0311	0.2	0.6	0.75
dataset_0312	0.2	0.8	0.75
dataset_0313	0.2	1	0.75
dataset_0314	0.2	2	0.75
dataset_0315	0.2	3	0.75
dataset_0316	0.2	4	0.75
dataset_0317	0.2	5	0.75
dataset_0318	0.4	0	0.75
dataset_0319	0.4	0.2	0.75
